0.0,0j
0.125,0j
0.25,0j
0.375,0j
0.5,0j
0.625,0j
0.75,0j
0.875,0j
1.0,0j
1.125,0j
1.25,0j
1.375,0j
1.5,0j
1.625,0j
1.75,0j
1.875,0j
2.0,0j
2.125,0j
2.25,0j
2.375,0j
2.5,0j
2.625,0j
2.75,0j
2.875,0j
3.0,0j
3.125,0j
3.25,0j
3.375,0j
3.5,0j
3.625,0j
3.75,0j
3.875,0j
4.0,0j
4.125,0j
4.25,0j
4.375,0j
4.5,0j
4.625,0j
4.75,0j
4.875,0j
5.0,0j
5.125,0j
5.25,0j
5.375,0j
5.5,0j
5.625,0j
5.75,0j
5.875,0j
6.0,0j
6.125,0j
6.25,0j
6.375,0j
6.5,0j
6.625,0j
6.75,0j
6.875,0j
7.0,0j
7.125,0j
7.25,0j
7.375,0j
7.5,0j
7.625,0j
7.75,0j
7.875,0j
8.0,0j
8.125,0j
8.25,0j
8.375,0j
8.5,0j
8.625,0j
8.75,0j
8.875,0j
9.0,0j
9.125,0j
9.25,0j
9.375,0j
9.5,0j
9.625,0j
9.75,0j
9.875,0j
10.0,0j
10.125,0j
10.25,0j
10.375,0j
10.5,0j
10.625,0j
10.75,(-0+0j)
10.875,0j
11.0,0j
11.125,0j
11.25,(-0+0j)
11.375,0j
11.5,0j
11.625,0j
11.75,(-0+0j)
11.875,0j
12.0,0j
12.125,0j
12.25,0j
12.375,0j
12.5,0j
12.625,0j
12.75,0j
12.875,0j
13.0,0j
13.125,0j
13.25,0j
13.375,0j
13.5,0j
13.625,0j
13.75,0j
13.875,0j
14.0,0j
14.125,0j
14.25,0j
14.375,0j
14.5,0j
14.625,0j
14.75,0j
14.875,0j
15.0,0j
15.125,0j
15.25,0j
15.375,0j
15.5,0j
15.625,0j
15.75,0j
15.875,0j
16.0,0j
16.125,0j
16.25,0j
16.375,0j
16.5,0j
16.625,(-0+0j)
16.75,0j
16.875,0j
17.0,0j
17.125,0j
17.25,0j
17.375,0j
17.5,0j
17.625,0j
17.75,0j
17.875,0j
18.0,0j
18.125,0j
18.25,0j
18.375,0j
18.5,0j
18.625,0j
18.75,0j
18.875,0j
19.0,0j
19.125,0j
19.25,0j
19.375,0j
19.5,0j
19.625,(-0+0j)
19.75,0j
19.875,(-0+0j)
20.0,(-1.4658486295484e-23-4.9120742828801627e-23j)
20.125,(3.3456612533410464e-23+3.46860946146723e-23j)
20.25,(5.181102728530488e-24+8.847907158736731e-23j)
20.375,(-2.089274840755431e-23-1.5990630576911133e-23j)
20.5,(1.675878776577086e-23-2.1119934810761066e-23j)
20.625,(-1.6167666760707694e-23+9.121467348431963e-24j)
20.75,(-5.629809873857698e-23-2.5567207963474063e-23j)
20.875,(4.091156901434806e-23+4.192608636598069e-23j)
21.0,(-3.279276210987931e-26+2.726783840258088e-23j)
21.125,(-1.8824957150569618e-23-3.281671812393504e-23j)
21.25,(2.2309417145338703e-24+4.856079521667601e-23j)
